head	tail	context	relation_type
C0042071	C0071216	C2239176	Regulation
C0108800	C1332700	C0026269	Decrease
C0015683	C1332700	C0026269	Increase
C0108800	C1332822	C0026269	Decrease
C0015683	C1332822	C0026269	Increase
C0108800	C0015683	C0026269	Regulation
C0255808	C0015683	C0026269	Decrease
C0253023	C0015683	C0026269	Binding
C0015683	C4042483	C0026269	Binding
C0219474	C0015683	C0026269	Decrease
C0015683	C0003323	C0026269	Binding
C0009392	C0020852	C0026269	Binding
C0208940	C1420562	C0026269	Decrease
C1456820	C0104998	C0027651	Regulation
C0019764	C0527903	C0027651	Increase
C0380603	C0078058	C0018916	Regulation
C1335283	C1416655	C0023467	Binding
C0758637	C0054953	C0023467	Increase
C0965644	C0299505	C0027651	Binding
C0020846	C0020860	C0851444	Binding
C3493221	C0034821	C0004153	Binding
C0299505	C0389252	C0031511	Binding
C0389252	C1308226	C0019562	Increase
C1308226	C0389252	C0031511	Binding
C1419909	C0389252	C0019562	Binding
C0389252	C1419909	C0031511	Binding
C1419909	C0299505	C0031511	Binding
C1419909	C1308226	C0019562	Binding
C1308226	C1419909	C0031511	Binding
C1419908	C1419909	C0031511	Increase
C0299505	C1308226	C0027651	Increase
C0013089	C1419255	C0031511	Regulation
C0013089	C1424497	C0031511	Regulation
C1456820	C0040688	C0031511	Binding
C0022709	C0034787	C0027051	Binding
C0022709	C0034787	C0011849	Binding
C0376622	C1332002	C0678222	Regulation
C1332002	C0069906	C0678222	Binding
C1332002	C0290741	C0678222	Binding
C0165519	C0172537	C0007097	Binding
C0085295	C0006560	C0027651	Binding
C0069515	C0256022	C0027651	Binding
C1425569	C0069515	C0027651	Regulation
C0072467	C0069515	C0027651	Decrease
C0072467	C0080065	C0027651	Binding
C0037663	C0021641	C0013364	Increase
C0037663	C0017687	C0013364	Decrease
C0299583	C0963992	C0027651	Binding
C1334508	C0525037	C0027651	Binding
C0037663	C0911014	C0028754	Regulation
C0015683	C1456820	C0333516	Binding
C0021758	C0021757	C0333516	Decrease
C1456820	C0021758	C0333516	Binding
C0021745	C1456820	C0600139	Binding
C0021756	C0021745	C0600139	Binding
C0253023	C0291573	C1306459	Decrease
C0021760	C0006560	C0085693	Binding
C1423771	C1419967	C0242350	Binding
C0669365	C0042971	C0042974	Binding
C0030190	C0063695	C0042974	Binding
C0042971	C1366370	C2586211	Regulation
C1417608	C0213574	C0018203	Decrease
C0812267	C0069515	C0027651	Binding
C0389918	C0042971	C0042974	Binding
C1413172	C0763658	C0027651	Decrease
C0029446	C1413172	C0027651	Decrease
C0169533	C1413172	C0027651	Decrease
C1418252	C1413172	C0027651	Decrease
C0388911	C1413172	C0027651	Decrease
C0029446	C0763658	C0027651	Decrease
C0169533	C0763658	C0027651	Decrease
C1418252	C0763658	C0027651	Decrease
C0388911	C0763658	C0027651	Decrease
C0021760	C0029419	C0339510	Increase
C0249880	C0080055	C0699791	Binding
C0080055	C0387583	C0699791	Decrease
C0249880	C0387583	C0699791	Decrease
C0249880	C1565860	C0699791	Binding
C0249880	C1565860	C0027651	Binding
C0242275	C0079280	C0600139	Binding
C0078058	C0079280	C0238463	Regulation
C0006560	C1456820	C1956346	Binding
C0006560	C1305957	C1956346	Increase
C1456820	C1305957	C1956346	Regulation
C1456820	C0021753	C0027051	Binding
C0021760	C1456820	C0027051	Binding
C0021760	C0021753	C0027051	Increase
C0085295	C0021760	C0027051	Increase
C0166418	C0166417	C0242184	Regulation
C0020861	C0020852	C0009186	Regulation
C0669365	C1533698	C2607914	Increase
C0164786	C1430988	C2239176	Increase
C0002210	C0019168	C0027651	Decrease
C0288472	C0664336	C4048328	Regulation
C0291573	C0288472	C4048328	Regulation
C0291573	C0288472	C0206708	Regulation
C0172537	C0623362	C0600139	Decrease
C0172537	C0623362	C1704272	Regulation
C0165519	C0623362	C0600139	Binding
C0165519	C0623362	C1704272	Regulation
C0079460	C0021756	C0025202	Binding
C0879290	C0879393	C1333990	Decrease
C0009392	C0025250	C0002395	Regulation
C0246957	C0174680	C0025202	Decrease
C0001924	C0021760	C0027651	Binding
C0248813	C0752312	C0175697	Decrease
C1120843	C0248813	C0175697	Binding
C0022709	C0003011	C0011881	Binding
C0021665	C0037663	C0011884	Decrease
C0389071	C0021641	C0400966	Binding
C0054965	C0021641	C0042373	Regulation
C0080055	C0812222	C1800706	Binding
C0080055	C0812222	C0206061	Binding
C0288472	C0812222	C1800706	Regulation
C0219474	C0812222	C1800706	Regulation
C0080055	C0041538	C1800706	Regulation
C0288472	C0080055	C1800706	Decrease
C0219474	C0080055	C1800706	Decrease
C0288472	C0219474	C1800706	Decrease
C1515406	C0021760	C0027651	Binding
C0209338	C1456820	C0027651	Binding
C0919534	C1333715	C0162739	Regulation
C0665341	C1425481	C0678222	Regulation
C0665341	C1425481	C0006142	Regulation
C1615518	C0665341	C0006142	Regulation
C3658348	C1739912	C0032580	Binding
C1332735	C2983131	C0002395	Binding
C1421933	C1427885	C0002395	Regulation
C0132555	C0387583	C0175697	Binding
C1565860	C0132555	C0175697	Binding
C0387583	C1533698	C0175697	Binding
C0042071	C0021760	C0027651	Binding
C0021760	C0042071	C0023269	Regulation
C0021760	C0042071	C0017636	Increase
C0876942	C0042071	C0027651	Increase
C0876942	C0042071	C0023269	Regulation
C0876942	C0042071	C0017636	Increase
C0061928	C0086376	C3714873	Binding
C0633372	C0061928	C3714873	Decrease
C0314684	C0078058	C0027651	Increase
C0029282	C0752312	C0009375	Regulation
C0029282	C0172537	C0009375	Regulation
C0752312	C0172537	C0009375	Regulation
C1321919	C0021760	C0027651	Increase
C0003009	C3714928	C0004153	Binding
C0299583	C0021641	C0007222	Binding
C0069428	C0059406	C0026269	Binding
C0069428	C0059406	C0026769	Binding
C0003343	C0080113	C0027651	Regulation
C0123759	C1417835	C2239176	Regulation
C0123759	C1417835	C0027651	Regulation
C0123759	C1417835	C0019163	Regulation
C0963782	C0104998	C0027651	Decrease
C0963782	C0527903	C0027651	Decrease
C0021760	C0172537	C0027651	Increase
C0016424	C0023607	C0028754	Binding
C0016424	C0023607	C0028949	Binding
C1416655	C0054953	C0027651	Binding
C0034802	C1565860	C0027651	Binding
C0387583	C0034802	C0027651	Increase
C1413052	C0215848	C0242184	Decrease
C0002199	C0034802	C0699790	Binding
C1418251	C0105421	C0023473	Binding
C0023139	C1418251	C0023473	Binding
C0385242	C1621918	C0023467	Regulation
C0385242	C1504635	C0023467	Regulation
C0297817	C0385242	C0023467	Regulation
C1424878	C0023816	C0020557	Binding
C0132555	C0021760	C0027651	Binding
C2352110	C0003323	C0001175	Decrease
C0016026	C0060369	C0027651	Binding
C1413291	C0033634	C3263719	Binding
C0079904	C0164786	C0600139	Regulation
C0164786	C2936824	C0600139	Binding
C0025646	C0021760	C1306459	Binding
C0025646	C0876942	C1306459	Decrease
C0021760	C3887684	C0027651	Binding
C1419292	C2720166	C0268381	Regulation
C0023824	C0021641	C0007222	Binding
C0023822	C0039902	C0007222	Binding
C0004002	C0001899	C0239981	Decrease
C1570610	C1420247	C0027651	Regulation
C0078058	C0023821	C0004153	Regulation
C0207079	C0003593	C1862596	Regulation
C0207079	C0003593	C0000744	Regulation
C0065610	C0003593	C1862596	Regulation
C0003593	C0065610	C0000744	Decrease
C0012863	C0069515	C0678222	Binding
C0208804	C0080055	C0678222	Decrease
C0079904	C1826449	C0018553	Decrease
C0245662	C0018847	C0023467	Regulation
C0015683	C0018847	C0023467	Regulation
C1423842	C1335239	C0023449	Binding
C1426926	C0084785	C0007129	Binding
C0042666	C0010287	C0007097	Regulation
C0010287	C0010803	C0007097	Decrease
C0021756	C0021758	C0004943	Regulation
C0021756	C0085295	C0004943	Regulation
C0021758	C0085295	C0004943	Regulation
C0248813	C0219474	C0022116	Increase
C1456820	C3487299	C0175697	Increase
C0020861	C0020852	C0267797	Regulation
C0027021	C0103647	C2347126	Increase
C0215508	C1568122	C0023418	Binding
C1412097	C0215508	C0023418	Binding
C0058126	C0040085	C1527249	Binding
C0040083	C0040085	C1527249	Binding
C0042006	C0040085	C1527249	Binding
C0057455	C0058126	C1306459	Increase
C0058126	C0040083	C0040517	Binding
C0057455	C0040083	C0040517	Binding
C0040083	C0042006	C1527249	Binding
C0074825	C0037657	C0600139	Binding
C0004002	C0001899	C0002871	Binding
C0004002	C0001899	C0040034	Decrease
C0079633	C0063710	C0027651	Increase
C0019046	C0079280	C0699885	Binding
C0019046	C0079280	C0151744	Regulation
C1456820	C0253050	C0027651	Increase
C2936824	C0079904	C0027651	Binding
C0164786	C0079904	C0027651	Binding
C0164786	C1456820	C0027651	Decrease
C0079904	C0082529	C0027651	Binding
C0082529	C1417708	C0027651	Binding
C1567060	C1456820	C0027651	Binding
C0125090	C0003323	C0085110	Decrease
C1425592	C1414027	C0012236	Regulation
C4255255	C1415504	C0017181	Binding
C0060933	C0001924	C0027651	Binding
C0023821	C0023824	C0020473	Decrease
C0079633	C0021753	C0333516	Binding
C0020835	C0040690	C0151650	Regulation
C0040690	C0020835	C0022658	Decrease
C0020835	C1704256	C0022658	Binding
C0033634	C0020835	C0151650	Regulation
C0033634	C0020835	C0022658	Regulation
C0078058	C0387583	C0862506	Regulation
C0078058	C0387583	C0086692	Regulation
C0078058	C0387583	C0029925	Regulation
C0078058	C0387583	C0004997	Regulation
C0387583	C0078058	C0007097	Increase
C0078058	C4042483	C0862506	Regulation
C0078058	C4042483	C0086692	Regulation
C0078058	C4042483	C0029925	Regulation
C0078058	C4042483	C0004997	Regulation
C0078058	C4042483	C0007097	Regulation
C0387583	C4042483	C0862506	Regulation
C0387583	C4042483	C0086692	Regulation
C0387583	C4042483	C0029925	Regulation
C0387583	C4042483	C0004997	Regulation
C0387583	C4042483	C0007097	Regulation
C0080055	C0288472	C0600139	Binding
C0167627	C0054959	C0027051	Increase
C0022709	C0167627	C0027051	Regulation
C1412760	C0080055	C0027651	Binding
C0017040	C0001899	C0162309	Binding
C0021745	C0666361	C0031099	Regulation
C0021745	C0666361	C0085110	Regulation
C0021745	C0666361	C0751781	Regulation
C0021745	C0666361	C0031090	Regulation
C0003323	C0021745	C0085110	Decrease
C0021745	C0003323	C0031090	Regulation
C0023822	C0039411	C0010068	Binding
C0023824	C0039411	C0010068	Binding
C1456820	C0021760	C0155626	Binding
C0004002	C0001899	C0239946	Increase
C0001899	C0004002	C0524909	Regulation
C0078058	C3849882	C0027651	Decrease
C0525037	C0288472	C0027651	Binding
C0078058	C3849511	C0242184	Binding
C0147139	C0078058	C0242184	Increase
C0042172	C0069515	C0027651	Binding
C0249880	C0169665	C0027651	Binding
C0021753	C0165519	C0027651	Binding
C0042971	C0079281	C2316810	Binding
C0872043	C0035499	C0018802	Decrease
C0003595	C0245109	C0004153	Regulation
C0003595	C0245109	C0947751	Regulation
C0054961	C0298340	C0026764	Increase
C0038432	C0021641	C0020456	Binding
C0041368	C0248813	C0027651	Regulation
C0665341	C0034804	C0678222	Decrease
C0963992	C0021641	C0028754	Binding
C0014822	C0965644	C0242184	Binding
C0079904	C0965644	C0242184	Decrease
C0019046	C3844844	C0039730	Binding
C0001899	C0004002	C0175697	Regulation
C0010287	C0022917	C0242184	Decrease
C0385242	C1515370	C0677886	Regulation
C0385242	C1336643	C1140680	Binding
C0385242	C1336643	C0677886	Increase
C0385242	C1333218	C1140680	Regulation
C1333218	C0385242	C0677886	Regulation
C1515370	C1336643	C0677886	Regulation
C1515370	C1333218	C0677886	Regulation
C1336643	C1333218	C1140680	Regulation
C1336643	C1333218	C0677886	Regulation
C0022984	C1428884	C0008497	Regulation
C0022984	C1428884	C0027651	Decrease
C0919534	C0537086	C1527249	Regulation
C0537086	C1333715	C1527249	Binding
C0021753	C1456820	C0038358	Binding
C0034678	C0085113	C0162678	Binding
C0034678	C0085113	C0027651	Binding
C0083725	C0034678	C0027651	Binding
C1334879	C0027752	C0027651	Increase
C1334909	C0919487	C0027651	Binding
C1334910	C1334909	C0027651	Increase
C0021760	C1416447	C0027651	Regulation
C1456820	C0034678	C0027651	Decrease
C0288472	C0034678	C0027651	Binding
C0034678	C1120843	C0027651	Decrease
C0082529	C0248813	C0027651	Binding
C0108748	C0753253	C0026764	Binding
C0753253	C0054946	C0026764	Regulation
C0753253	C0108754	C0026764	Binding
C0054961	C0753253	C0026764	Binding
C0054961	C0108748	C0026764	Decrease
C0108754	C0079091	C0026764	Regulation
C0054961	C0108754	C0026764	Binding
C0021745	C1335239	C0027651	Regulation
C0085295	C1533698	C0027651	Increase
C0021745	C1456820	C0041296	Binding
C0105770	C0042172	C0009402	Increase
C0021760	C0021753	C1527249	Binding
C0021753	C0021760	C0021390	Binding
C0021753	C1456820	C1527249	Binding
C0021753	C1456820	C0021390	Binding
C0016006	C1456820	C0027651	Binding
C1332737	C0249880	C0027651	Binding
C0014239	C0034802	C0006142	Increase
C0034802	C0003805	C0678222	Regulation
C0021760	C0021641	C0524620	Regulation
C0378516	C0078058	C0476089	Binding
C0078058	C1334306	C0476089	Binding
C0388911	C1565860	C0027651	Binding
C1335837	C0380603	C0919267	Regulation
C1335837	C0380603	C0334232	Regulation
C1335837	C0380603	C0154129	Regulation
C1335837	C0380603	C0677886	Regulation
C1335837	C0380603	C0862506	Regulation
C1335837	C0380603	C1306459	Regulation
C1335837	C0072108	C0919267	Regulation
C1335837	C0072108	C0334232	Regulation
C1335837	C0072108	C0154129	Regulation
C1335837	C0072108	C0677886	Regulation
C1335837	C0072108	C0862506	Regulation
C1335837	C0072108	C1306459	Regulation
C0023821	C0023823	C0018799	Increase
C0080055	C0017626	C0027651	Decrease
C0021760	C0254610	C0027651	Regulation
C0242275	C0078058	C0027651	Binding
C0009392	C0021756	C0025297	Regulation
C0009392	C0021756	C0153092	Regulation
C0021756	C0021745	C0025297	Regulation
C0021756	C0021745	C0153092	Regulation
C0021745	C0021760	C0025297	Increase
C0021760	C0021745	C0153092	Regulation
C0021756	C1456820	C0025297	Regulation
C0021756	C1456820	C0153092	Regulation
C0021760	C1456820	C0025297	Regulation
C0021760	C1456820	C0153092	Regulation
C0021756	C0021760	C0025297	Regulation
C0021756	C0021760	C0153092	Regulation
C0021745	C0021760	C0041296	Increase
C1456820	C0021760	C0041296	Increase
C1332743	C1417494	C0699791	Regulation
C1366582	C1565860	C0699791	Binding
C1565860	C0079904	C0699791	Decrease
C1565860	C0165519	C0699791	Decrease
C1565860	C0078058	C0699791	Regulation
C0165519	C0079904	C0699791	Decrease
C0253023	C4048302	C0699791	Regulation
C0253023	C4048302	C0027651	Regulation
C0919457	C0390347	C0699791	Binding
C0021665	C0017151	C0699791	Regulation
C0021665	C0008328	C0699791	Regulation
C0021665	C0006222	C0699791	Regulation
C4044495	C0017151	C0699791	Regulation
C4044495	C0008328	C0699791	Regulation
C4044495	C0006222	C0699791	Regulation
C0017151	C0008328	C0699791	Decrease
C0008328	C0017151	C0027651	Decrease
C0017151	C0006222	C0699791	Regulation
C0008328	C0006222	C0699791	Binding
C0042071	C0172537	C0699791	Binding
C1456820	C0021745	C0019163	Binding
C1456396	C1414086	C0392514	Binding
C1414086	C1456396	C3469186	Decrease
C1414086	C0034845	C0392514	Decrease
C0108801	C1414086	C0392514	Decrease
C1414086	C0108801	C3469186	Binding
C1456396	C0108801	C3469186	Binding
C0021753	C0079633	C0001418	Regulation
C0021753	C0079904	C0001418	Regulation
C0079633	C0021760	C0023895	Decrease
C1456820	C0021760	C0023895	Binding
C0085295	C0021760	C0023895	Decrease
C0148199	C0034802	C0027651	Regulation
C0752312	C0034802	C0027651	Binding
C0169665	C0080113	C0346647	Binding
C0169665	C0111429	C0035335	Binding
C1332737	C0111429	C0035335	Binding
C1332737	C1528558	C0027651	Binding
C0169665	C1528558	C0027651	Binding
C0752312	C2936824	C0259785	Regulation
C0752312	C2936824	C0027651	Binding
C0752312	C0164786	C1762616	Binding
C0537086	C0387583	C0600139	Binding
C0526999	C0537086	C0600139	Binding
C0138741	C0537086	C0600139	Decrease
C0526999	C0387583	C0600139	Decrease
C0387583	C0138741	C0600139	Regulation
C0526999	C0138741	C0600139	Regulation
C0249197	C0525037	C0027651	Decrease
C0249197	C0249880	C0027651	Binding
C0080055	C1384539	C0027651	Binding
C0080113	C0288472	C0027651	Binding
C0249197	C0080113	C0027651	Binding
C4042483	C0385242	C0027651	Increase
C0389071	C0299583	C0028754	Increase
C1420307	C0038838	C0699791	Increase
C1456820	C0538161	C0027651	Decrease
C0015879	C0040679	C0017181	Increase
C0003323	C0034790	C0027651	Binding
C0069515	C0206364	C0006142	Increase
C0017822	C0038838	C0559483	Regulation
C0017824	C0038838	C0559483	Decrease
C0019046	C0021641	C0011849	Binding
C0021641	C0022709	C0524620	Increase
C0033706	C0040048	C0042974	Binding
C0369334	C0019167	C0019159	Regulation
C2936824	C2713509	C0018802	Regulation
C1416373	C1309370	C0027651	Decrease
C0080054	C0080113	C0035335	Increase
C0015683	C1539478	C1306459	Binding
C1412228	C0007404	C0020615	Regulation
C0021758	C0079633	C0333516	Binding
C0214743	C0021745	C0333516	Regulation
C1412097	C0034789	C0027651	Binding
C0034786	C0138741	C0027651	Regulation
C0030190	C0021641	C0032460	Increase
C0021641	C0032143	C0032460	Regulation
C0145779	C1420516	C0042974	Binding
C0042971	C1420516	C0042974	Binding
C0108799	C0027758	C0027651	Binding
C0027758	C0026794	C0027651	Regulation
C0002191	C0027758	C0027651	Decrease
C0054953	C2716282	C0027651	Binding
C0080055	C1334508	C0027651	Binding
C0069515	C1334508	C0027651	Binding
C1417494	C1417497	C0027651	Binding
C0079904	C0040679	C0242350	Regulation
C0030190	C0078058	C0042974	Decrease
C0021034	C0017351	C0024301	Regulation
C0017351	C0021034	C0023418	Decrease
C0021641	C0038432	C3250443	Binding
C1456820	C1565860	C0175697	Increase
C0020852	C0079633	C0027651	Increase
C0020846	C0108768	C0392707	Binding
C0072978	C1413189	C0877248	Regulation
C0072978	C1332700	C0877248	Regulation
C1413189	C1332700	C0877248	Regulation
C2936824	C1430988	C0027651	Regulation
C0021760	C0003805	C0678222	Decrease
C0021760	C1456820	C0678222	Regulation
C1413136	C0020063	C0020502	Binding
C0525037	C0215508	C0023467	Binding
C1539715	C0525037	C0023467	Binding
C0127306	C0080055	C0023467	Regulation
C0019046	C1419381	C0002871	Regulation
C0165519	C0166059	C0027651	Binding
C0015879	C0006560	C1561643	Regulation
C0006560	C0036773	C1561643	Binding
C0006560	C0036773	C0017181	Binding
C0019046	C0006560	C1561643	Regulation
C0015879	C0019046	C0017181	Decrease
C0038432	C0021641	C0011881	Increase
C1333715	C0919534	C0242383	Binding
C0537086	C0919534	C0242383	Binding
C0085295	C0021758	C0020522	Binding
C0075747	C0021745	C0027651	Binding
C1456820	C0754728	C0027651	Binding
C0079904	C0065491	C0027651	Binding
C0059239	C0812252	C0750927	Decrease
C0949635	C0079259	C0013264	Regulation
C1333711	C0079883	C2676780	Regulation
C0529196	C1456820	C0027651	Binding
C0027752	C0021745	C0333516	Decrease
C3493221	C0003595	C0020557	Decrease
C1423842	C0021758	C0027651	Binding
C0021759	C0021756	C0010674	Binding
C0021758	C0021756	C0010674	Binding
C1456820	C0021745	C0010674	Decrease
C0085295	C1456820	C0010674	Binding
C0069515	C0006611	C0027651	Increase
C0006611	C0080055	C0027651	Binding
C1333715	C0919534	C0023467	Increase
C0006560	C1456820	C0085580	Decrease
C0006560	C0063695	C0085580	Regulation
C0006560	C0063695	C0027651	Binding
C0006560	C0078056	C0085580	Regulation
C0078056	C0006560	C0027651	Decrease
C0063695	C0078056	C0085580	Regulation
C0063695	C1456820	C0085580	Regulation
C0078056	C1456820	C0085580	Regulation
C1456820	C1367673	C0027651	Decrease
C0078058	C0075278	C0262401	Regulation
C0078058	C0027021	C0262401	Regulation
C0369334	C0019168	C2239176	Binding
C0369334	C0019168	C0524909	Binding
C0001899	C0369334	C2239176	Increase
C0019168	C0001899	C0524909	Increase
C0021760	C0062534	C2239176	Binding
C3853644	C0080298	C0027651	Binding
C1422841	C1826560	C0027651	Binding
C0389071	C0006560	C0027651	Binding
C4082178	C1370369	C0022521	Regulation
C0251006	C0021760	C0027651	Increase
C0078058	C0021760	C0242184	Increase
C0078058	C0079633	C0242184	Regulation
C0760170	C0079460	C0034050	Binding
C0021747	C0041368	C0175697	Binding
C0041368	C0248813	C0333516	Increase
C0041538	C0965644	C0019562	Decrease
C0080055	C0001047	C0027651	Regulation
C0165519	C1456820	C0027547	Increase
C0165519	C1456820	C0027651	Binding
C0016016	C0032143	C0018944	Regulation
C0078056	C0063695	C2347126	Binding
C0042666	C1431519	C1266089	Regulation
C0080055	C4042483	C1458155	Binding
C0008328	C0026594	C0432306	Increase
C0077063	C1512474	C0027651	Decrease
C0019643	C0077063	C0027651	Decrease
C0249880	C0288472	C1306460	Increase
C0105770	C0010803	C1527249	Regulation
C0105770	C0010287	C1527249	Regulation
C1426926	C0105770	C1527249	Binding
C1416745	C0105770	C1527249	Increase
C1426926	C0010803	C1527249	Regulation
C1426926	C0010287	C1527249	Regulation
C1426926	C1416745	C1527249	Binding
C0059406	C0107103	C0410539	Regulation
C0059406	C0107103	C0282512	Regulation
C0020268	C0107103	C0410539	Regulation
C0020268	C0107103	C0282512	Regulation
C1416563	C1416612	C0023976	Increase
C1416612	C1416565	C0023976	Increase
C1416563	C1416565	C0023976	Increase
C0021760	C0078058	C0026764	Regulation
C0108748	C0054964	C0023434	Binding
C0069515	C0078058	C0027651	Binding
C0249880	C0080055	C1306460	Increase
C0080113	C0080055	C1306460	Increase
C0080055	C0034802	C1306460	Increase
C0812265	C0069515	C0027651	Decrease
C0069515	C0752312	C0027651	Binding
C0169665	C1332737	C0001418	Decrease
C0080065	C1419771	C0027651	Decrease
C0040690	C0385939	C0678222	Increase
C0298973	C0080055	C0004135	Binding
C0080113	C0080055	C1527249	Decrease
C0080055	C0249880	C1527249	Increase
C0080055	C0034802	C1527249	Regulation
C1419786	C0069676	C0678222	Decrease
C1419786	C0069676	C0027651	Regulation
C1419786	C0069676	C0007097	Regulation
C0665341	C1419786	C0027651	Binding
C1419786	C0665341	C0678222	Regulation
C0665341	C1419786	C0007097	Binding
C0665341	C0069676	C0027651	Increase
C0069676	C0665341	C0678222	Regulation
C0069676	C0665341	C0007097	Regulation
C0381943	C0169665	C0699791	Binding
C0169665	C0381943	C0678222	Decrease
C2930113	C0006050	C0027651	Regulation
C0385242	C0253023	C0025202	Decrease
C0020861	C0020852	C0442874	Regulation
C0023821	C0062709	C1956346	Binding
C0023814	C0023821	C0010068	Increase
C0002210	C0002191	C2239176	Decrease
C0002210	C0795657	C2239176	Decrease
C0021760	C0021027	C0027651	Binding
C1456820	C0021027	C0027651	Regulation
C0021027	C0020861	C0003873	Regulation
C0020861	C0021027	C0027651	Binding
C0020852	C0021027	C0003873	Decrease
C0021027	C0020852	C0027651	Binding
C0021758	C0021753	C0003873	Regulation
C0021760	C0020861	C0027651	Increase
C0001492	C0086376	C0018802	Increase
C0021756	C0021758	C0002395	Binding
C0021756	C0021745	C0002395	Binding
C0034802	C0080055	C0699885	Regulation
C0031858	C0021760	C0027651	Binding
C0031858	C0021760	C0175697	Binding
C0021756	C0079460	C0175697	Binding
C0021756	C1538265	C0023418	Decrease
C1570610	C0016055	C2239176	Binding
C1456820	C0021745	C0009324	Decrease
C0021665	C0021641	C3250443	Binding
C1420307	C1456820	C0175697	Binding
C0020835	C0020852	C0021390	Binding
C1413291	C0752312	C3263719	Regulation
C0003323	C0021753	C0027651	Binding
C1332717	C0021753	C0027651	Regulation
C1412553	C0007804	C0023522	Binding
C0002199	C0019721	C0007134	Binding
C1610033	C0021756	C0007134	Binding
C0021756	C0002199	C0025202	Binding
C1610033	C0002199	C0025202	Binding
C0023821	C0023822	C0020473	Binding
C0031858	C0009630	C1335499	Increase
C0021757	C0079460	C0265219	Binding
C0021757	C0014822	C0265219	Binding
C0079424	C0080113	C0035335	Binding
C0021755	C0021759	C0027651	Regulation
C0079459	C0021755	C0027651	Decrease
C0021759	C0079784	C0027651	Increase
C1456820	C1699801	C0027651	Regulation
C0079459	C0040690	C0027651	Decrease
C0040018	C0015506	C0042974	Binding
C0023823	C0205666	C0019247	Binding
C0023824	C0003593	C0017181	Binding
C0023824	C0023822	C0017181	Binding
C0023822	C0003593	C0017181	Binding
C0085201	C0003593	C0017181	Binding
C0021753	C0021760	C0007134	Regulation
C0021760	C1456820	C0007134	Binding
C1420806	C1336643	C0011854	Binding
C0018062	C0023610	C0085083	Decrease
C0018062	C0023610	C1861455	Binding
C0023821	C0055538	C0004153	Binding
C0042971	C0076560	C0042974	Binding
C0021641	C0023610	C0020615	Binding
C0023610	C0040162	C0020615	Binding
C0004002	C0001899	C0001339	Regulation
C0019630	C0019764	C0027651	Decrease
C0314684	C0040688	C0027651	Regulation
C0314684	C0162508	C0027651	Binding
C0037663	C0033371	C0032019	Binding
C0037663	C0001655	C0032019	Binding
C1456820	C0600251	C0023467	Regulation
C0002199	C0600251	C0023467	Increase
C1456820	C0002199	C0023467	Binding
C0042971	C0032145	C0042974	Binding
C0032145	C0015506	C0042974	Regulation
C0079459	C0014822	C0002871	Regulation
C0034802	C0040688	C0007137	Regulation
C0021756	C0021760	C1306459	Binding
C0021755	C1456820	C1306459	Binding
C1538265	C0021756	C0007134	Regulation
C0037657	C0071189	C0678222	Decrease
C0021665	C0037657	C0678222	Binding
C0071189	C0021665	C0678222	Binding
C0028615	C0068895	C2239176	Increase
C0021641	C0001924	C0007222	Increase
C0020861	C0020835	C0017658	Binding
C0020835	C0009506	C0017658	Decrease
C0020861	C0009506	C0017658	Regulation
C0018062	C0002210	C0013080	Decrease
C0072108	C0034802	C0001618	Increase
C0020852	C0020861	C0019693	Binding
C0021666	C0694898	C0027708	Regulation
C0041368	C0021756	C0039231	Increase
C0037663	C0023610	C0020676	Binding
C0020852	C0035448	C0002893	Binding
C0021755	C0021758	C0175697	Binding
C0245109	C0021758	C0175697	Binding
C0245109	C0021755	C0175697	Binding
C0021753	C1456820	C0085437	Binding
C0006560	C1456820	C1306459	Binding
C0021760	C0006560	C1306459	Regulation
C0020835	C0020852	C0017661	Binding
C0014822	C1366564	C2316810	Decrease
C0041368	C0009630	C0175697	Binding
C0042071	C0030191	C1306459	Binding
C1413916	C0039738	C0031511	Binding
C0039738	C1418713	C0031511	Binding
C1418713	C1413916	C0031511	Binding
C0021753	C3539768	C0027651	Binding
C0079459	C0069535	C0023418	Binding
C0021760	C0021753	C0019693	Increase
C0010531	C0033634	C0010674	Regulation
C1709313	C0080113	C0035335	Binding
C0040160	C0037663	C0020676	Binding
C0040160	C0040162	C0920350	Binding
C0033371	C0037663	C0002962	Binding
C0079280	C0242275	C0038358	Decrease
C1538265	C0041368	C0027651	Regulation
C0041368	C0024518	C0004364	Regulation
C0033640	C0021753	C0027651	Regulation
C0037663	C0021665	C0040517	Regulation
C0021745	C0015980	C0175697	Binding
C0042071	C0007427	C0027651	Binding
C0034789	C1418251	C0023473	Binding
C0010132	C0021755	C0027651	Binding
C0021760	C0010132	C0027651	Regulation
C1456820	C0010132	C0027651	Binding
C0001655	C0021755	C0027651	Regulation
C0022984	C0064634	C0025202	Increase
C0021747	C0015980	C0027651	Binding
C0001899	C0017040	C0023895	Binding
C0079633	C0079459	C0002874	Decrease
C0079633	C0079459	C1862382	Decrease
C0021760	C0021753	C0265219	Regulation
C0079633	C0021760	C0002874	Decrease
C0079633	C0021760	C1862382	Regulation
C1610033	C0024320	C0027651	Binding
C0079459	C0021757	C3665444	Increase
C1332717	C0003323	C0036205	Binding
C0162745	C0164371	C0003873	Regulation
C0162745	C0021753	C0027651	Binding
C0162745	C0021753	C0029408	Binding
C0162745	C0021760	C0027651	Binding
C0164371	C0021753	C0029408	Binding
C1456820	C0164371	C0029408	Binding
