head	tail	context	relation_type
C0249880	C0525037	C0027651	Regulation
C0042971	C0040018	C0042974	Binding
C0242957	C0080055	C0027651	Increase
C0079904	C0024075	C0175697	Binding
C1332717	C0003323	C0019693	Binding
C0034678	C0080055	C0027651	Binding
C0080055	C0034678	C1306459	Binding
C0015683	C0010656	C0027651	Binding
C0164786	C1430988	C0027651	Binding
C0021641	C0006558	C0028754	Regulation
C0080055	C0080113	C0027651	Regulation
C0042172	C0174680	C0027651	Binding
C4042483	C0080065	C0027651	Increase
C0080065	C0069515	C0027651	Decrease
C0034802	C0069515	C0027651	Regulation
C0080055	C0174680	C0027651	Binding
C0080065	C0080055	C0027651	Binding
C4042483	C0080055	C0027651	Regulation
C0034802	C0080055	C0027651	Binding
C0069515	C0080055	C0027651	Binding
C0042172	C0080055	C0027651	Binding
C0174680	C0080113	C0027651	Decrease
C4042483	C0080113	C0027651	Binding
C0034802	C0080113	C0027651	Decrease
C0069515	C0080113	C0027651	Decrease
C0080113	C0042172	C0027651	Binding
C0174680	C4042483	C0027651	Binding
C0034802	C0174680	C0027651	Binding
C0174680	C0069515	C0027651	Binding
C4042483	C0034802	C0027651	Binding
C0069515	C4042483	C0027651	Binding
C4042483	C0042172	C0027651	Regulation
C0062529	C0080055	C0027651	Binding
C0026900	C0314684	C0027651	Binding
C0526999	C0080055	C0027651	Binding
C0526999	C0694898	C0027651	Decrease
C0080055	C0288472	C0027651	Binding
C0080055	C0694898	C0027651	Binding
C0169665	C0069515	C0027651	Binding
C0010656	C0041368	C0027651	Binding
C0010656	C0385242	C0027651	Binding
C0015683	C0255808	C0027651	Binding
C0041368	C0015683	C0027651	Binding
C0385242	C0015683	C0027651	Binding
C0041368	C0255808	C0027651	Binding
C0041368	C0385242	C0027651	Regulation
C0080055	C0219474	C1306459	Binding
C0080055	C4042483	C1306459	Increase
C0288472	C0080055	C1306459	Binding
C0219474	C0288472	C1306459	Binding
C0021760	C0025646	C0027651	Binding
C0021760	C0006560	C0027651	Binding
C0022917	C0021760	C0027651	Binding
C0022917	C0006560	C0027651	Regulation
C0249880	C0525037	C1961102	Regulation
C0003009	C0085828	C0020456	Binding
C0080055	C0079419	C0017638	Binding
C0020846	C0051978	C0851444	Regulation
C0016055	C1456820	C0027651	Binding
C0021760	C0006560	C0151744	Increase
C0123759	C1332717	C0027651	Binding
C0035379	C0123759	C0027651	Increase
C0123759	C0021745	C0027651	Binding
C0021745	C1332717	C0027651	Decrease
C0598034	C1528558	C0027651	Decrease
C0007082	C0080055	C0027651	Binding
C0007082	C0069515	C0027651	Binding
C0002199	C1456820	C0175697	Binding
C1456820	C0054959	C0175697	Binding
C1456820	C0383327	C0175697	Decrease
C0021745	C0002199	C0175697	Binding
C0054959	C0021745	C0175697	Binding
C0021745	C0383327	C0175697	Binding
C0383327	C0123759	C0175697	Binding
C0123759	C0021758	C0175697	Binding
C0021745	C0123759	C0175697	Regulation
C0021745	C0021758	C0175697	Binding
C0123759	C0054959	C0175697	Decrease
C0169964	C0037663	C2316810	Decrease
C0023824	C0023822	C0745103	Binding
C0669365	C0132555	C0242184	Increase
C1456820	C0017817	C0027651	Binding
C1456820	C0079633	C0175697	Binding
C0003323	C0019046	C0001175	Binding
C0003323	C0019046	C0002871	Binding
C0078058	C0033634	C0027651	Decrease
C0079459	C0079460	C0026764	Increase
C0079459	C0079460	C0678222	Binding
C0694883	C1414387	C0031269	Regulation
C0128897	C0021760	C0027651	Binding
C0128897	C0021745	C0027651	Increase
C1332717	C0253023	C0027651	Binding
C0021745	C0253023	C0027651	Binding
C1332717	C0015683	C0027651	Binding
C0015683	C0021745	C0027651	Binding
C0077401	C1305957	C0155626	Binding
C0077404	C0077401	C0155626	Increase
C3538889	C1305957	C0155626	Increase
C0063695	C1456820	C0027651	Binding
C0078056	C1456820	C0027651	Regulation
C1456820	C0115305	C0027651	Regulation
C0115305	C0063695	C0027651	Regulation
C0115305	C0003641	C0027651	Regulation
C0063695	C0003641	C0027651	Regulation
C0078056	C0003641	C0027651	Regulation
C1456820	C0003641	C0027651	Binding
C0078056	C0063695	C0027651	Binding
C0115305	C0078056	C0027651	Regulation
C1332717	C0003323	C1306459	Decrease
C0003323	C0007507	C1306459	Binding
C0021641	C0299583	C1956346	Binding
C0041368	C0021760	C0333516	Regulation
C1456820	C0001655	C0027651	Regulation
C1456820	C0299583	C0027651	Decrease
C0001655	C1456820	C0020615	Regulation
C0015683	C0080055	C0027651	Binding
C0809183	C0525037	C0027651	Binding
C0809183	C0249880	C0027651	Binding
C0021760	C0079459	C0027651	Binding
C0032200	C0079459	C0027651	Binding
C0108768	C0041368	C0175697	Binding
C0080055	C1528558	C0678222	Increase
C1415076	C1417248	C0007959	Decrease
C1335333	C0063695	C1306459	Regulation
C1335333	C0063695	C0027651	Binding
C0078056	C1335333	C0027651	Binding
C1335333	C0078056	C1306459	Regulation
C0063695	C1456820	C1306459	Binding
C0078056	C1456820	C1306459	Binding
C1456820	C0115305	C1306459	Regulation
C0115305	C0078056	C1306459	Increase
C0021760	C0876942	C0027651	Binding
C0021758	C0021759	C0013595	Binding
C0021759	C0021758	C0002395	Binding
C0020846	C0021758	C0013595	Increase
C0020846	C0021758	C0002395	Binding
C0021759	C0020846	C0002395	Binding
C0021759	C0021758	C1306759	Regulation
C0021758	C0020846	C1306759	Binding
C0021759	C0020846	C1306759	Binding
C1456820	C0079633	C0027651	Regulation
C0243045	C0288472	C0027651	Binding
C0022984	C0009333	C0027651	Binding
