1	818459	1277821
2	265935	459362
3	64987	193427
4	54291	128440
5	16178	74149
6	17460	57971
7	6875	40511
8	7705	33636
9	4561	25931
10	3376	21370
11	2193	17994
12	2962	15801
13	1354	12839
14	1298	11485
15	1085	10187
16	1031	9102
17	653	8071
18	786	7418
19	503	6632
20	532	6129
21	445	5597
22	403	5152
23	302	4749
24	358	4447
25	290	4089
26	233	3799
27	224	3566
28	193	3342
29	157	3149
30	187	2992
31	137	2805
32	140	2668
33	130	2528
34	118	2398
35	107	2280
36	125	2173
37	99	2048
38	68	1949
39	78	1881
40	73	1803
41	62	1730
42	57	1668
43	53	1611
44	54	1558
45	79	1504
46	51	1425
47	48	1374
48	46	1326
49	48	1280
50	41	1232
51	34	1191
52	29	1157
53	23	1128
54	33	1105
55	35	1072
56	32	1037
57	21	1005
58	22	984
59	20	962
60	28	942
61	22	914
62	24	892
63	11	868
64	18	857
65	16	839
66	17	823
67	18	806
68	19	788
69	11	769
70	11	758
71	11	747
72	16	736
73	18	720
74	22	702
75	17	680
76	10	663
77	14	653
78	12	639
79	11	627
80	19	616
81	6	597
82	13	591
83	8	578
84	10	570
85	4	560
86	9	556
87	10	547
88	11	537
89	8	526
90	5	518
91	12	513
92	3	501
93	5	498
94	6	493
95	7	487
96	6	480
97	9	474
98	9	465
99	8	456
100	2	448
101	7	446
102	4	439
103	8	435
104	4	427
105	3	423
106	9	420
107	3	411
108	4	408
109	5	404
110	3	399
111	4	396
112	6	392
113	4	386
114	5	382
115	4	377
116	2	373
117	5	371
118	4	366
119	8	362
120	6	354
121	5	348
122	7	343
124	8	336
125	5	328
126	8	323
127	6	315
128	5	309
129	3	304
130	6	301
131	2	295
132	5	293
133	9	288
135	4	279
136	1	275
137	3	274
138	6	271
139	1	265
140	4	264
142	3	260
143	7	257
144	1	250
145	1	249
146	3	248
147	3	245
148	5	242
149	4	237
150	3	233
151	1	230
152	3	229
153	3	226
154	1	223
155	3	222
156	1	219
157	1	218
158	6	217
159	2	211
160	5	209
161	2	204
163	3	202
164	1	199
165	1	198
166	4	197
167	3	193
169	1	190
171	3	189
172	2	186
173	2	184
174	2	182
175	2	180
176	5	178
177	3	173
179	1	170
180	2	169
182	2	167
184	2	165
185	3	163
186	1	160
187	2	159
188	1	157
189	2	156
190	1	154
191	1	153
192	3	152
193	2	149
194	3	147
198	1	144
199	3	143
201	3	140
203	1	137
204	1	136
205	3	135
208	2	132
209	1	130
210	2	129
211	1	127
212	2	126
213	1	124
214	2	123
215	1	121
216	4	120
217	3	116
218	2	113
220	2	111
221	4	109
223	2	105
224	2	103
226	4	101
227	2	97
228	1	95
229	1	94
230	1	93
232	1	92
234	1	91
237	1	90
241	2	89
242	2	87
243	2	85
244	1	83
246	3	82
247	1	79
251	1	78
254	1	77
255	1	76
258	1	75
260	1	74
262	2	73
265	1	71
267	1	70
268	2	69
269	3	67
270	3	64
274	1	61
276	2	60
279	1	58
282	1	57
285	2	56
286	6	54
289	2	48
290	1	46
291	1	45
292	3	44
297	1	41
298	1	40
303	1	39
308	1	38
314	1	37
322	1	36
324	1	35
340	1	34
371	1	33
512	1	32
520	1	31
531	1	30
533	1	29
538	1	28
561	2	27
564	2	25
566	1	23
626	1	22
640	1	21
707	1	20
749	1	19
789	1	18
791	1	17
802	1	16
804	1	15
827	1	14
828	1	13
830	1	12
833	1	11
840	1	10
850	2	9
903	1	7
916	1	6
921	1	5
956	1	4
974	1	3
999	2	2
